sortnum,lat, lng
0,37.6203934,127.08509019999995
1,37.6202972,127.08526310000002
2,37.6203176,127.08784760000005
3,37.6201897,127.08789780000006
4,37.6200949,127.0879344
5,37.6200235,127.0880221
6,37.6199468,127.08815400000005
7,37.6198654,127.08826240000008
8,37.6197858,127.08835520000002
9,37.6197037,127.08846849999998
10,37.6197964,127.08844750000004
11,37.6196981,127.08848469999998
12,37.6196316,127.08858450000002
13,37.6195948,127.08869700000002
14,37.6195214,127.08879720000004
15,37.6195045,127.08891829999992
16,37.6194671,127.0890323
17,37.6193925,127.0891494
18,37.6193142,127.08921680000005
19,37.6192746,127.08934820000002
20,37.6192476,127.0894601
21,37.6192073,127.08957009999996
22,37.6191952,127.08968230000004
23,37.6191547,127.08982430000005
24,37.6192092,127.0899223
25,37.6191449,127.09002310000004
26,37.6190934,127.09011770000006
27,37.6190702,127.09023109999998
28,37.6189838,127.09033090000004
29,37.6189262,127.0904418
30,37.6188738,127.0905451
31,37.6188423,127.09065729999998
32,37.618793,127.0907651
33,37.6187537,127.09089530000006
34,37.6186641,127.09092420000002
35,37.618676,127.09107700000004
36,37.6187769,127.0910996
37,37.6186615,127.09118590000004
38,37.6187117,127.0910682
39,37.6185778,127.09110780000005
40,37.6186271,127.09122760000002
41,37.6185823,127.09132699999998
42,37.6185773,127.09144620000006
43,37.618487,127.09149520000004
44,37.6184085,127.09159590000002
45,37.6183895,127.09174919999998
46,37.6183306,127.0918405
47,37.6182594,127.0919126
48,37.6182067,127.09200710000005
49,37.618192,127.09212890000003
50,37.618148,127.09222909999994
51,37.6181082,127.09233919999996
52,37.6180563,127.09244409999997
53,37.6180338,127.0925777
54,37.6179662,127.09266159999991
55,37.6178815,127.092763
56,37.6178218,127.09284890000004
57,37.6177628,127.09294509999997
58,37.6177395,127.09306500000002
59,37.6177343,127.09318400000006
60,37.6176621,127.09329189999994
61,37.6176086,127.09338750000006
62,37.6175512,127.09349099999996
63,37.6175493,127.0936127
64,37.6167774,127.09502870000006
65,37.6167042,127.09512100000006
66,37.6166274,127.09521700000003
67,37.616531,127.09529020000002
68,37.6164507,127.09536290000004
69,37.6163629,127.09543699999996
70,37.6162622,127.09548459999996
71,37.6161968,127.0955692
72,37.6161103,127.09564750000004
73,37.616041,127.095728
74,37.615966,127.095827
75,37.6158933,127.09590750000008
76,37.6158151,127.09597800000006
77,37.6157381,127.09605310000006
78,37.61567,127.09614280000004
79,37.6155986,127.09623770000007
80,37.6155426,127.09634979999998
81,37.6154868,127.09645320000004
82,37.6154456,127.0965847
83,37.6154354,127.09671359999992
84,37.6154302,127.09683210000004
85,37.615405,127.09696439999992
86,37.615455,127.09707359999992
87,37.6154476,127.0971935
88,37.615467,127.09731
89,37.615532,127.09740799999996
90,37.6154378,127.09746730000006
91,37.6153778,127.0973656
92,37.6153593,127.09723580000002
93,37.6153551,127.09710159999996
94,37.6153488,127.09697759999996
95,37.6153304,127.09684930000004
96,37.6153045,127.09673270000008
97,37.6153271,127.09661319999998
98,37.6153835,127.0965102
99,37.6154295,127.09639579999998
100,37.6154854,127.0962955
101,37.6155349,127.09619650000002
102,37.615579,127.09609260000002
103,37.6155591,127.09596020000004
104,37.6155438,127.0958425
105,37.6154615,127.09579630000007
106,37.615362,127.09580719999995
107,37.6152707,127.09584189999998
108,37.6151851,127.09577880000006
109,37.6151476,127.09588689999998
110,37.6150505,127.09588310000004
111,37.6150032,127.0959894
112,37.6149332,127.09606940000003
113,37.614836,127.09615269999996
114,37.6148236,127.09627219999992
115,37.6147955,127.0963868
116,37.6147337,127.09650999999997
117,37.6146668,127.09661830000005
118,37.6146747,127.09674169999994
